signer0_sample2,10
signer0_sample6,18
signer0_sample7,17
signer0_sample13,47
signer0_sample15,27
signer0_sample24,42
signer0_sample26,19
signer0_sample27,14
signer0_sample28,31
signer0_sample32,21
signer0_sample33,5
signer0_sample44,23
signer0_sample49,30
signer0_sample50,17
signer0_sample51,36
signer0_sample52,9
signer0_sample54,8
signer0_sample55,41
signer0_sample57,39
signer0_sample62,4
signer0_sample63,29
signer0_sample69,2
signer0_sample74,45
signer0_sample80,20
signer0_sample87,33
signer0_sample95,49
signer0_sample99,25
signer0_sample101,44
signer0_sample108,24
signer0_sample110,22
signer0_sample114,15
signer0_sample115,43
signer0_sample123,0
signer0_sample126,48
signer0_sample134,38
signer0_sample138,30
signer0_sample151,47
signer0_sample155,47
signer0_sample156,48
signer0_sample175,44
signer0_sample180,22
signer0_sample186,36
signer0_sample194,31
signer0_sample196,22
signer0_sample198,39
signer0_sample199,47
signer0_sample200,43
signer0_sample203,21
signer0_sample215,5
signer0_sample216,12
signer0_sample217,16
signer0_sample225,40
signer0_sample227,26
signer0_sample233,37
signer0_sample237,20
signer0_sample238,46
signer0_sample241,26
signer0_sample248,10
signer0_sample249,7
signer0_sample253,44
signer0_sample260,3
signer0_sample264,27
signer0_sample269,32
signer0_sample271,15
signer0_sample272,28
signer0_sample282,11
signer0_sample283,22
signer0_sample287,32
signer0_sample288,13
signer0_sample294,18
signer0_sample296,6
signer0_sample297,35
signer0_sample298,15
signer0_sample304,35
signer0_sample305,40
signer0_sample306,1
signer0_sample308,16
signer0_sample309,12
signer0_sample310,34
signer0_sample320,40
signer0_sample327,23
signer0_sample331,10
signer0_sample333,31
signer0_sample349,4
signer0_sample355,44
signer0_sample362,33
signer0_sample366,27
signer0_sample374,43
signer0_sample378,18
signer0_sample380,0
signer0_sample385,40
signer0_sample387,38
signer0_sample399,28
signer0_sample400,34
signer0_sample403,25
signer0_sample411,25
signer0_sample415,45
signer0_sample418,16
signer0_sample420,12
signer0_sample423,39
signer0_sample425,39
signer0_sample428,19
signer0_sample438,33
signer0_sample460,27
signer0_sample462,32
signer0_sample463,1
signer0_sample467,30
signer0_sample475,7
signer0_sample476,9
signer0_sample482,19
signer0_sample485,41
signer0_sample491,26
signer0_sample494,20
signer0_sample496,42
signer0_sample500,13
signer0_sample502,9
signer0_sample504,18
signer0_sample509,11
signer0_sample512,49
signer0_sample519,31
signer0_sample520,8
signer0_sample521,29
signer0_sample524,3
signer0_sample528,27
signer0_sample532,34
signer0_sample538,41
signer0_sample540,43
signer0_sample541,46
signer0_sample542,14
signer0_sample545,48
signer0_sample546,9
signer0_sample549,12
signer0_sample552,17
signer0_sample554,29
signer0_sample556,3
signer0_sample559,0
signer0_sample567,45
signer0_sample568,23
signer0_sample570,21
signer0_sample575,4
signer0_sample580,36
signer0_sample588,35
signer0_sample589,22
signer0_sample598,4
signer0_sample600,43
signer0_sample601,28
signer0_sample604,41
signer0_sample622,21
signer0_sample632,35
signer0_sample633,39
signer0_sample643,23
signer0_sample647,44
signer0_sample651,17
signer0_sample652,1
signer0_sample653,24
signer0_sample655,28
signer0_sample664,19
signer0_sample669,45
signer0_sample671,13
signer0_sample675,7
signer0_sample676,24
signer0_sample686,26
signer0_sample689,9
signer0_sample691,18
signer0_sample696,9
signer0_sample700,14
signer0_sample702,5
signer0_sample703,41
signer0_sample704,41
signer0_sample707,20
signer0_sample718,2
signer0_sample719,6
signer0_sample728,36
signer0_sample735,36
signer0_sample740,21
signer0_sample743,11
signer0_sample745,10
signer0_sample754,6
signer0_sample757,42
signer0_sample761,7
signer0_sample762,42
signer0_sample765,5
signer0_sample782,49
signer0_sample787,25
signer0_sample788,15
signer0_sample797,0
signer0_sample799,4
signer0_sample810,37
signer0_sample818,13
signer0_sample826,42
signer0_sample829,26
signer0_sample833,32
signer0_sample837,38
signer0_sample838,3
signer0_sample842,22
signer0_sample847,8
signer0_sample850,20
signer0_sample851,32
signer0_sample852,2
signer0_sample857,16
signer0_sample859,15
signer0_sample874,28
signer0_sample879,38
signer0_sample883,48
signer0_sample887,14
signer0_sample893,24
signer0_sample899,34
signer0_sample900,46
signer0_sample915,19
signer0_sample920,8
signer0_sample924,6
signer0_sample925,46
signer0_sample929,11
signer0_sample931,13
signer0_sample932,46
signer0_sample946,15
signer0_sample947,33
signer0_sample948,49
signer0_sample950,3
signer0_sample953,8
signer0_sample955,46
signer0_sample958,43
signer0_sample959,33
signer0_sample961,32
signer0_sample963,24
signer0_sample967,17
signer0_sample974,7
signer0_sample977,48
signer0_sample978,45
signer0_sample993,30
signer0_sample1000,26
signer0_sample1008,14
signer0_sample1016,49
signer0_sample1025,44
signer0_sample1026,16
signer0_sample1027,36
signer0_sample1042,10
signer0_sample1045,48
signer0_sample1056,17
signer0_sample1058,33
signer0_sample1068,23
signer0_sample1069,30
signer0_sample1072,37
signer0_sample1080,16
signer0_sample1083,47
signer0_sample1085,37
signer0_sample1090,8
signer0_sample1094,29
signer0_sample1097,28
signer0_sample1103,1
signer0_sample1110,37
signer0_sample1111,19
signer0_sample1112,12
signer0_sample1117,23
signer0_sample1118,1
signer0_sample1119,30
signer0_sample1120,25
signer0_sample1123,45
signer0_sample1127,6
signer0_sample1134,5
signer0_sample1144,29
signer0_sample1150,6
signer0_sample1152,24
signer0_sample1153,38
signer0_sample1157,14
signer0_sample1158,7
signer0_sample1159,11
signer0_sample1164,40
signer0_sample1165,37
signer0_sample1167,27
signer0_sample1171,42
signer0_sample1174,12
signer0_sample1185,40
signer0_sample1191,0
signer0_sample1212,20
signer0_sample1215,21
signer0_sample1216,29
signer0_sample1230,10
signer0_sample1236,13
signer0_sample1243,49
signer0_sample1247,47
signer0_sample1272,35
signer0_sample1277,31
signer0_sample1280,11
signer0_sample1288,2
signer0_sample1298,2
signer0_sample1306,35
signer0_sample1319,34
signer0_sample1320,34
signer0_sample1323,1
signer0_sample1327,4
signer0_sample1329,3
